Region,Year,Crop,Area planted (ha),Production,Yield
SEDHIOU,2019,Sorghum,40625,72019,5.4934
SEDHIOU,2019,Maize,33846,64849,6.4504
SEDHIOU,2016,Cassava,817,7975,10.725
SEDHIOU,2018,Cassava,508,5757,12.4663
SEDHIOU,2017,Cassava,899,11124,13.6147
SEDHIOU,2018,Watermelon,385,5777,16.5
SEDHIOU,2017,Watermelon,441,6637,16.5682
SEDHIOU,2016,Watermelon,401,6034,16.8663
SEDHIOU,2019,Cassava,556,6310,35.2
SEDHIOU,2019,Watermelon,1054,14705,45.1
SEDHIOU,2011,Rice,23219,16781,0.72
SEDHIOU,2012,Rice,20025,30513,1.52
SEDHIOU,2013,Rice,21108,3266,1.54
SEDHIOU,2014,Rice,3471,70721,2.03
SEDHIOU,2015,Rice,60265,174264,2.89
TAMBACOUNDA,2019,Fonio,0,0,0
TAMBACOUNDA,2017,Cowpea,1400,8343,0.5368
TAMBACOUNDA,2016,Cowpea,1273,660,0.6094
TAMBACOUNDA,2018,Sesame,1488,1079,0.7975
TAMBACOUNDA,2016,Sesame,3737,2803,0.825
TAMBACOUNDA,2017,Sesame,4016,3012,0.825
TAMBACOUNDA,2018,Millet,38785,29250,0.8294
TAMBACOUNDA,2018,Cowpea,3014,2411,0.88
TAMBACOUNDA,2017,Millet,62596,55052,0.9669
TAMBACOUNDA,2016,Millet,63241,57960,1.0087
TAMBACOUNDA,2017,Peanut,98825,92959,1.0351
TAMBACOUNDA,2017,Sorghum,37500,35980,1.0549
TAMBACOUNDA,2016,Sorghum,34091,34729,1.1209
TAMBACOUNDA,2018,Sorghum,42080,43895,1.1473
TAMBACOUNDA,2016,Peanut,89571,89571,1.1572
TAMBACOUNDA,2018,Peanut,163027,178945,1.2078
TAMBACOUNDA,2016,Maize,30542,37094,1.4685
TAMBACOUNDA,2017,Maize,33596,46167,1.5114
TAMBACOUNDA,2019,Cowpea,3447,2778,1.925
TAMBACOUNDA,2018,Maize,33961,61238,1.9833
TAMBACOUNDA,2019,Rice,339,678,2.2
TAMBACOUNDA,2018,Rice,7558,19353,2.8171
TAMBACOUNDA,2019,Sesame,3186,2200,2.8248
TAMBACOUNDA,2017,Rice,1990,5530,3.0569
TAMBACOUNDA,2016,Rice,1990,6843,3.7818
TAMBACOUNDA,2019,Millet,60225,46189,4.8367
TAMBACOUNDA,2019,Sorghum,16019,18816,5.335
TAMBACOUNDA,2019,Maize,21095,36420,6.7936
TAMBACOUNDA,2019,Peanut,104210,161941,7.6615
TAMBACOUNDA,2016,Cassava,295,3540,13.2
TAMBACOUNDA,2017,Cassava,325,3894,13.2
TAMBACOUNDA,2018,Cassava,82,996,13.4365
TAMBACOUNDA,2018,Watermelon,3566,53497,16.5
TAMBACOUNDA,2016,Watermelon,263,4609,19.25
TAMBACOUNDA,2017,Watermelon,290,5070,19.25
TAMBACOUNDA,2019,Cassava,90,1095,27.5
TAMBACOUNDA,2019,Watermelon,4222,61974,48.95
TAMBACOUNDA,2016,Fonio,0,0,0
TAMBACOUNDA,2017,Fonio,0,0,0
TAMBACOUNDA,2018,Fonio,,,0
THIES,2016,Rice,0,0,0
THIES,2017,Rice,0,0,0
THIES,2018,Rice,,,0
THIES,2019,Fonio,72,36,0.55
THIES,2017,Maize,2719,1512,0.6116
THIES,2017,Cowpea,14917,61,0.6149
THIES,2016,Maize,2472,1375,0.6193
THIES,2018,Cowpea,25543,14516,0.6248
THIES,2016,Cowpea,13561,7680,0.66
THIES,2017,Millet,106503,70496,0.7282
THIES,2017,Peanut,115780,78769,0.748
THIES,2018,Sorghum,10609,8058,0.836
THIES,2016,Millet,104751,80672,0.847
THIES,2018,Maize,3030,2727,0.99
THIES,2016,Peanut,112497,112497,0.9911
THIES,2016,Sorghum,15815,14514,1.0098
THIES,2017,Sorghum,17396,15966,1.0098
THIES,2018,Millet,114218,107063,1.0307
THIES,2018,Peanut,95866,90253,1.0351
THIES,2019,Sesame,147,67,1.5125
THIES,2019,Millet,88133,40770,1.947
THIES,2019,Cowpea,30070,18744,2.0405
THIES,2019,Rice,8500,17000,2.2
THIES,2019,Sorghum,32400,30893,2.8105
THIES,2019,Peanut,92486,87345,2.9931
THIES,2019,Maize,30640,52638,3.6795
THIES,2018,Watermelon,540,2029,4.136
THIES,2016,Watermelon,939,9388,11
THIES,2017,Watermelon,1033,10327,11
THIES,2016,Cassava,28167,305969,11.3663
THIES,2017,Cassava,46008,522980,12.5037
THIES,2018,Cassava,46000,525200,12.5587
THIES,2019,Watermelon,3851,36257,31.009
THIES,2019,Cassava,56700,639150,34.1
THIES,2016,Sesame,0,0,0
THIES,2017,Sesame,0,0,0
THIES,2018,Sesame,,,0
THIES,2016,Fonio,0,0,0
THIES,2017,Fonio,0,0,0
THIES,2018,Fonio,,,0
ZIGUINCHOR,2019,Fonio,0,0,0
ZIGUINCHOR,2016,Cowpea,2597,425,0.4411
ZIGUINCHOR,2018,Cowpea,1203,541,0.495
ZIGUINCHOR,2017,Cowpea,2856,4379,0.5313
ZIGUINCHOR,2017,Sesame,1004,526,0.5764
ZIGUINCHOR,2016,Sesame,913,479,0.5863
ZIGUINCHOR,2018,Sesame,1158,662,0.6292
ZIGUINCHOR,2016,Millet,8925,5983,0.737
ZIGUINCHOR,2017,Millet,8752,7442,0.935
ZIGUINCHOR,2016,Maize,2169,2607,0.9746
ZIGUINCHOR,2016,Sorghum,474,430,0.9988
